Date,Wind Speed_km/h
2012-07-19,8.458333333333334
2012-07-20,8.333333333333334
2012-07-21,7.333333333333333
2012-07-22,17.583333333333332
2012-07-23,13.4
2012-07-24,15.416666666666666
2012-07-25,13.708333333333334
2012-07-26,7.083333333333333
2012-07-27,5.666666666666667
2012-07-28,13.333333333333334
2012-07-29,9.375
2012-07-30,9.208333333333334
2012-07-31,13.0
2012-08-01,10.291666666666666
2012-08-02,14.875
2012-08-03,13.583333333333334
2012-08-04,13.083333333333334
2012-08-05,23.17391304347826
2012-08-06,17.166666666666668
2012-08-07,15.5
2012-08-08,5.916666666666667
2012-08-09,15.458333333333334
2012-08-10,14.647058823529411
2012-08-11,15.478260869565217
2012-08-12,11.833333333333334
2012-08-13,13.791666666666666
2012-08-14,8.958333333333334
2012-08-15,8.25
